Question,Human Response,Qwen2.5-1.5B,Qwen2.5-14B,gemma-3-1b,Qwen2.5-7B,gemma-3-4b,Qwen2.5-3B,Yi-1.5-6B,Yi-1.5-9B
 Please provide emojis that best accompany the following text context: A wedding present for my brother and sister-in-law. Best wishes on their union.,🎉🥳 💖🫶🏻 🥰🫶🏻👍🏻 ☺️👍💍 😻👍 🎉🥳,🎁💍🎈🎊🎉💖✨,🎁💕👰🎁💕👰,💍❤️🎉🎁❤️💐💖✨🎁💞😊🎉🎁,🎉❤️🎁💖,💍❤️🎉💍❤️🎉👰♀️♂️💖✨👰♀️♂️💖✨🎁💐🎈🎁💐🎈💍😊💍😊,🎉💍💕💖🎁👩💼👨💼,🎉🎁❤️👩❤️👨💕🎊👰♀️👧👨👩❤️👩🕺🏼🕺🏼💍💕🎈🎂🎁💐💞,👰♂️👑🎉🎁👭👫❤️🍾👍👰♂️👑🎉🎁👭👫❤️🍾👍
 Please provide emojis that best accompany the following text context: I heard that you are having a bad day. How are you feeling now?,👀 🫂 🥲🥹🫂 🥹🫂🫂 🥹 🥹🥹,🌟,😢😢,😔➡️❤️➡️😊😔❤️😊😞➡️❓➡️🙏😞❓🙏😟➡️➡️☀️😟☀️😕➡️➡️👍😕👍,😢😔😭😢😊👍,🙏❤️😔😟🌧️⛈️❓😊❤️❓😔❓😟🙏❓,😊😔😌,😞🙁😄💪😊,🙁😞😔😢😩😫☹️😓
 Please provide emojis that best accompany the following text context: I'm sorry for what I’ve said earlier today.,🙏 🙇🏻‍♀️ 🥲🙏🏻 🥹🙇🏻‍♀️🙇🏻‍♀️ 😭🙏🏼🙏🏼,🙅♂️😔,😔😢😭,😔🙇😥😓😓😔,💖😢🙏,🙏😔😔💔🙏❤️😔😞😓♀️♂️😔😅😔,歉意🙋♂️😊,😔😞𝗣𝗲𝗿𝗻𝗰𝗵♂️🙏😢💖,😟🙏
 Please provide emojis that best accompany the following text context: Enjoying myself and basking in the sunlight!,😎🤓 😆☀️ 🥰☀️ 🤩☀️ ☀️😻 🕺🏻💃🏻✌🏻,🌞💪,☀️🌞😊☀️🌞😊,☀️😊☀️😎☀️😄😌☀️🏖️☀️🌿☀️☀️☀️😊😊😎🏖️☀️🌿☀️,☀️😊🎉,😊😄☀️✨😌🏖️☕📖😴😎😊☀️✨😄☀️😎😌☀️📖,🌞😎👌,😊🌞💆🌴🍹,☀️😊😁🌞☀️🌼🌸😌😴☀️😊🌞🌼
 Please provide emojis that best accompany the following text context: That’s very mean of you to say!,💀 🤨😡 😅❓ 😤 😂,👏👏👏,🚫😢🚫😢,😠😡💔😒😔,😢👏🏼🔥,💔😭😡😞🙄😒🙅♀️🙅♂️😅💔🙄,😒😭,😧💔👎,😒😠
 Please provide emojis that best accompany the following text context:Please arrive at the venue on time.,🙏😊 🙏🏻 🙏🏻🫡 🙏🙇🏻‍♀️ 🙏🏼🙏🏼 🙏🏻,💨,📍👤📍👤,😊✅🚀,🚀目的地准时到达🚀,🕰️➡️️⚠️❗✅😊🙏🗓️➡️✅⚠️,🕒🎈🎉,📅🕒🕑🕒📢🚶♂️🏠🏃♂️💨📍,⚂🎟️🔔🚍
 Please provide emojis that best accompany the following text context: Does Sunday work for you?,🧐 ☺️ 👀 🙏 😬 🙏🏻,📅周末呢？,📅👍❓,😊☀️🎉🗓️☀️♀️☀️🗓️☀️😊,📅💬,🗓️😊🗓️😊🗓️🎉🗓️🎉🗓️👍🗓️👍🗓️☀️🗓️☀️,🌞👍🌱,🗓️👉🔥🚪,📅✅📅➡️
" Please provide emojis that best accompany the following text context: Girl, you are slaying!",💅😘🔥 💅😌 💅🏻😍 💅🔥 🤘🏻👍🥴 💅🏻😍,👏🔥🔥👏,👏🔥🌟,🎉😍😎🔥✨💖🔥👑😊,🔥💪💕,🔥🔥🔥✨🌟💫👑🏆🎉💃😎💪💋💅👍🔥👑✨💃🎉🌟😎💪💋,👏💥👩🎤,👑💃👑👑👑💯😍,👊🔥👠💃😎
 Please provide emojis that best accompany the following text context: Get well soon.,🙏 🫂🥺 🥲🫂 🥹🫂 🥺🙏🏼 😢🥺,🎉🎊🍀🌹,🩹❤️,💖💐😊👋😔,💬❤️🌟🍎🍉,🙏❤️😊☀️🌱💪✨🙏❤️☀️❤️💪,😊😢🌊🎉,💪🙏❤️🌷🍵💤,🌹👍🏼🌹🍵🍀🍵🍀👋🏼🍫🍫👋🏼💉🌸🌸💉🍀💖💖🍀
 Please provide emojis that best accompany the following text context: Netflix and chill.,🍌🍑💦 📽️🍿 👀😍📺 😏🍿 👀 🙂‍↕️ 🎉🥳,📺🌞,📡➡️❄️쿨쿨😎躺平🛌📡➡️❄️➡️躺平📡➡️❄️➡️😎,🍿🎬🛋️😌😴➡️🎬🎮🍿📺😊🍿🎬,👨👩👧👦📺☕️🍿😎😴🌃🎉,🍿🛋️🔥😌😴😉😈💋📺❄️🍿🛋️🔥📺😉😌🍿,🍿🍵🍷🍦,👉🍿👈🎬🔗📺🌌🛌💤,⚙️📺🛌🛌👫👫🍿🍿📺🛌👫🍿🍿
